Subject,condition,positive,negative,good,bad,pleasant,unpleasant,happy,sad,afraid,joyful,angry,disgusted,spane positive score,spane negative score,wordsremembered
1,fear,4,4,3,5,3,4,3,1,4,2,2,4,15,24,6
2,fear,4,2,3,2,4,2,3,1,1,3,1,3,17,12,7
3,fear,1,3,2,3,2,3,3,3,2,1,3,3,9,20,2
4,fear,4,3,4,3,4,3,4,2,3,3,2,1,19,17,6
5,fear,3,4,3,4,2,4,3,1,4,3,5,5,14,27,8
6,fear,4,3,3,1,4,3,3,1,2,3,1,2,17,13,3
7,fear,4,1,3,1,4,1,4,1,1,4,1,1,19,7,3
8,fear,4,2,4,3,5,2,4,3,2,4,2,1,21,15,0
9,fear,4,4,4,2,4,2,3,4,2,1,3,3,16,20,6
10,fear,3,2,4,2,4,2,3,1,1,1,1,1,15,10,3
11,fear,5,5,5,5,5,5,5,5,5,5,5,5,25,35,8
12,fear,3,4,3,4,3,4,3,1,5,1,1,1,13,20,0
13,fear,5,2,5,2,5,2,5,2,2,5,2,3,25,15,6
14,fear,2,5,3,5,1,5,1,1,5,1,3,3,8,27,3
15,fear,4,2,4,2,4,2,4,1,2,1,2,2,17,13,5
16,fear,3,3,3,2,3,4,3,3,5,2,5,5,14,27,7
17,fear,2,4,2,4,2,4,2,2,2,2,2,3,10,21,2
2,sadness,1,5,1,5,1,5,1,5,3,1,4,5,5,32,8
3,sadness,1,5,1,5,1,5,1,5,1,1,1,5,5,27,4
4,sadness,2,3,2,3,2,4,1,5,4,1,4,4,8,27,3
5,sadness,2,5,2,5,2,5,1,5,4,1,4,4,8,32,13
6,sadness,1,4,1,4,1,5,1,5,4,1,4,5,5,31,13
7,sadness,1,5,1,5,1,5,1,5,1,1,3,3,5,27,4
8,sadness,1,5,1,5,1,5,1,5,5,1,5,5,5,35,4
9,sadness,3,5,1,4,1,5,1,5,3,1,3,1,7,26,7
10,sadness,1,5,1,5,1,5,1,5,5,1,5,5,5,35,5
11,sadness,1,5,1,5,3,5,2,5,1,1,4,1,8,26,4
12,sadness,1,5,1,5,1,5,1,5,1,5,1,5,9,27,8
13,sadness,3,2,4,5,1,3,1,1,1,3,3,4,12,19,5
14,sadness,3,3,1,4,1,4,3,5,1,1,4,4,9,25,15
15,sadness,1,5,1,5,1,5,1,5,4,1,5,4,5,33,8
16,sadness,1,1,1,5,1,5,1,5,3,1,5,3,5,27,2
17,sadness,1,4,1,4,1,4,1,4,1,1,4,1,5,22,1
18,sadness,1,4,1,4,1,4,1,5,1,1,3,4,5,25,2
1,sadness,1,5,2,5,1,5,1,5,5,1,5,5,6,35,3
2,disgust,3,4,3,4,2,4,3,1,1,1,1,1,12,16,7
3,disgust,2,4,3,5,1,5,1,2,5,1,3,5,8,29,11
4,disgust,1,3,1,3,1,4,1,1,1,1,1,2,5,15,3
5,disgust,2,3,2,3,1,4,2,1,1,1,1,5,8,18,6
6,disgust,1,3,1,2,1,5,1,1,1,1,1,4,5,17,0
7,disgust,3,3,3,3,3,3,3,3,3,3,3,4,15,22,2
8,disgust,2,3,3,4,2,4,2,4,4,1,2,3,10,24,6
9,disgust,4,2,3,2,4,2,4,1,1,4,1,2,19,11,9
10,disgust,1,5,1,5,1,5,1,1,1,1,1,5,5,23,4
11,disgust,5,1,5,2,3,3,5,1,1,4,1,1,22,10,11
12,disgust,1,3,1,5,1,5,1,3,2,1,1,5,5,24,7
13,disgust,1,5,1,5,1,5,1,5,1,1,3,5,5,29,7
14,disgust,3,2,2,3,2,2,4,1,1,4,1,3,15,13,7
15,disgust,4,3,3,3,3,3,3,2,1,3,1,4,16,17,6
16,disgust,3,3,3,2,2,4,3,1,1,3,1,2,14,14,4
17,disgust,3,2,3,3,3,3,2,2,1,2,1,4,13,16,6
18,disgust,3,3,3,3,3,3,3,3,3,3,3,3,15,21,4
20,disgust,3,3,3,4,4,4,4,1,1,4,1,3,18,17,6
21,disgust,2,4,2,4,2,5,2,3,2,1,1,5,9,24,5
22,disgust,3,4,3,4,2,5,3,1,1,3,2,5,14,22,7
23,disgust,1,5,1,5,1,5,1,5,3,1,4,5,5,32,4
1,neutral,4,1,4,1,5,1,5,1,1,5,1,1,23,7,6
2,neutral,4,1,4,1,4,1,4,1,1,2,1,1,18,7,7
3,neutral,4,1,4,1,5,1,5,1,1,5,1,1,23,7,6
4,neutral,4,3,4,3,4,4,4,3,2,4,3,3,20,21,3
5,neutral,5,1,4,1,4,1,4,2,1,4,1,1,21,8,1
6,neutral,5,1,5,1,5,1,5,1,1,5,1,1,25,7,5
7,neutral,5,2,5,1,5,1,5,2,1,5,1,1,25,9,6
8,neutral,4,2,4,2,4,2,4,1,1,4,1,1,20,10,8
9,neutral,5,1,5,1,4,1,4,1,1,4,1,11,22,17,2
10,neutral,2,1,3,1,3,3,1,1,1,1,1,1,10,9,6
11,neutral,5,1,4,1,5,1,5,1,5,5,1,1,24,11,16
12,neutral,4,1,4,1,4,1,4,1,1,4,1,1,20,7,2
13,neutral,4,2,4,2,3,2,3,1,1,3,1,1,17,10,5
14,neutral,3,2,3,2,4,3,3,2,1,3,1,1,16,12,3
15,neutral,5,1,5,1,4,1,5,1,1,4,1,1,23,7,17
